Precio en dolares,Recamaras,Area total
102117,3,100
99626,3,100
64757,2,100
124533,3,100
131944,4,100
212742,3,100
110834,2,100
85928,4,100
87490,3,100
118306,2,100
112080,3,100
99626,2,100
161893,3,101
89664,3,101
128532,3,101
92777,3,101
90909,4,101
199253,3,101
105853,2,101
118306,3,101
168120,3,101
174346,5,101
98172,2,101
86427,3,101
176266,2,101
161893,4,101
99502,3,101
136986,3,101
161893,3,102
162526,2,102
162526,2,102
75346,2,102
168120,3,102
56040,1,102
52304,1,102
82192,2,102
168120,3,102
186061,4,102
199253,4,102
74720,2,102
224159,4,102
118306,4,102
105853,4,102
87173,4,102
186800,4,103
285872,7,103
112080,3,103
101494,3,103
195517,3,103
124533,4,103
332410,2,103
82438,2,103
105604,5,103
398892,4,103
109589,3,103
94645,3,103
367867,2,103
363435,3,103
92154,3,103
118306,4,103
325274,4,104
149440,4,104
131812,4,104
102825,3,104
74720,3,104
199253,3,104
81994,2,104
118306,2,104
122042,5,104
221606,4,104
112080,3,104
105853,5,105
157917,4,105
186800,3,105
236613,4,105
100210,3,105
92154,3,105
91789,3,105
159402,4,105
80946,5,105
105853,2,105
87173,2,105
190535,5,105
112080,2,105
323786,8,105
143213,3,105
130760,3,105
81994,3,105
186800,3,105
118306,4,105
115193,5,105
130760,4,105
150737,4,105
155666,3,105
118306,3,105
93400,3,105
102117,3,105
216731,3,105
102117,3,105
130760,4,105
130760,3,105
105928,2,105
80946,5,105
95890,3,105
206094,3,105
206094,3,105
112080,3,105
124533,3,105
126316,2,105
208310,6,105
120797,3,106
83437,4,106
121352,3,106
141828,3,106
417186,4,106
163546,3,106
117451,3,106
101939,4,106
163546,3,106
121420,3,106
144399,3,107
106371,5,107
180573,3,107
107098,2,107
107098,5,107
102117,4,107
161893,5,107
149440,3,107
180573,3,107
150692,4,107
228787,3,107
89664,3,107
168421,4,107
148194,5,108
127823,3,108
148194,5,108
128532,3,108
134371,3,108
105853,5,108
160648,3,108
174346,5,108
155666,4,108
49813,2,108
95890,4,108
155666,5,108
273973,6,108
80946,3,108
74097,4,108
108011,5,108
234903,2,108
149440,5,108
80946,3,108
161893,4,108
220720,4,109
143213,4,109
220720,4,109
95291,3,109
130635,4,109
92154,4,109
89664,3,109
78456,3,109
174346,3,110
94645,3,110
130760,2,110
491966,4,110
